x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,F
-3.1415926536,-8.0000000000,-2.0000000000,-0.8888888889,-0.5000000000,-0.3200000000,-0.2222222222,-0.1632653061,-0.1250000000,-0.0987654321,-0.0800000000,-0.0661157025,-0.0555555556,-0.0473372781,-0.0408163265,-0.0355555556,-0.0312500000,-0.0276816609,-0.0246913580,-0.0221606648,-0.0200000000,-0.0181405896,-0.0165289256,-0.0151228733,-0.0138888889,-0.0128000000,-18.4255234961
-3.0415926536,-7.7603664889,-1.7614638249,-0.6521745192,-0.2658213258,-0.0890562044,0.0048062434,0.0591900025,0.0922506841,0.1126790695,0.1250700125,0.1320478756,0.1352088613,0.1355770544,0.1338410985,0.1304842310,0.1258591855,0.1202330779,0.1138152206,0.1067748473,0.0992526794,0.0913686219,0.0832269643,0.0749199394,0.0665301778,0.0581324098,-14.1073503743
-2.9415926536,-7.4431939611,-1.4527036457,-0.3572033421,0.0103246908,0.1636916560,0.2301557499,0.2538073281,0.2535433410,0.2388502977,0.2151512323,0.1859085109,0.1535435143,0.1198706846,0.0863135047,0.0540157343,0.0238999438,-0.0033010793,-0.0270267550,-0.0468777234,-0.0626073771,-0.0741135961,-0.0814293973,-0.0847118449,-0.0842289811,-0.0803448179,-13.3884026001
-2.8415926536,-7.0516514997,-1.0860287564,-0.0303242543,0.2848406657,0.3763620901,0.3751052313,0.3290551014,0.2610400096,0.1842643825,0.1074234013,0.0366068834,-0.0239334952,-0.0714465190,-0.1045001789,-0.1228423873,-0.1272549193,-0.1193824261,-0.1015341499,-0.0764646895,-0.0471449556,-0.0165367013,0.0126156183,0.0379630026,0.0576896648,0.0706030661,-12.4252120825
-2.7415926536,-6.5896512674,-0.6760573278,0.2992636089,0.5143865627,0.4968859584,0.3890196636,0.2495431189,0.1101933111,-0.0097691438,-0.0990690094,-0.1526990303,-0.1708884894,-0.1580944048,-0.1218366984,-0.0713947877,-0.0164683781,0.0340646160,0.0731642981,0.0963181961,0.1018458253,0.0908105745,0.0665807864,0.0341241683,-0.0008510115,-0.0327815733,-11.1230967011
-2.6415926536,-6.0618094179,-0.2391336269,0.6021191451,0.6627221317,0.4957548146,0.2670383353,0.0526671084,-0.1074951712,-0.1964095768,-0.2144778298,-0.1751342591,-0.0999120434,-0.0131336173,0.0630837078,0.1127418523,0.1282166569,0.1106043497,0.0682879863,0.0141873537,-0.0376206805,-0.0751540283,-0.0909813526,-0.0834352327,-0.0564346037,-0.0180775698,-10.4715218358
-2.5415926536,-5.4733999725,0.2073235770,0.8511891714,0.7064284480,0.3732456021,0.0517728336,-0.1689790662,-0.2599785251,-0.2344111578,-0.1326967226,-0.0061814111,0.0984806821,0.1510679504,0.1432810136,0.0873448740,0.0089806478,-0.0625661390,-0.1041946452,-0.1054914430,-0.0705343710,-0.0149281376,0.0405044690,0.0770576215,0.0840800558,0.0617470325,-9.2705938795
-2.4415926536,-4.8303021238,0.6455154442,1.0242250041,0.6386052454,0.1593528489,-0.1815784083,-0.3111517456,-0.2547623943,-0.0950150479,0.0710851394,0.1695265310,0.1712825210,0.0939546168,-0.0143775788,-0.1003847883,-0.1287411181,-0.0944817446,-0.0209415030,0.0540212121,0.0963259912,0.0902268526,0.0433075021,-0.0192480582,-0.0675656058,-0.0808589120,-8.5217163872
-2.3415926536,-4.1389414930,1.0579726476,1.1057698675,0.4699603162,-0.0935550394,-0.3514990882,-0.3069848971,-0.0950108136,0.1162865560,0.2095116520,0.1599745649,0.0256504173,-0.1008024505,-0.1481684455,-0.1015467520,-0.0014622895,0.0869130442,0.1137105519,0.0705624544,-0.0096371421,-0.0761732125,-0.0914774958,-0.0514085822,0.0155648504,0.0678121697,-7.6467148768
-2.2415926536,-3.4062259269,1.4282518203,1.0885396019,0.2271189865,-0.3235573912,-0.3986310238,-0.1584382548,0.1223730516,0.2395848127,0.1553141180,-0.0243988466,-0.1526932658,-0.1478836917,-0.0359899559,0.0860185222,0.1288265145,0.0720852101,-0.0307290481,-0.0996454228,-0.0883050588,-0.0133153534,0.0643617148,0.0877526694,0.0446107601,-0.0277956616,-6.7425073868
