x,1,2,3,4,5,6,7,8,9,10,F
-3.141593,-4.000000,-1.000000,-0.444444,-0.250000,-0.160000,-0.111111,-0.081633,-0.062500,-0.049383,-0.040000,-9.488939
-3.041593,-4.179683,-1.178736,-0.621607,-0.424974,-0.332183,-0.279918,-0.246498,-0.222883,-0.204769,-0.189906,-11.171028
-2.941593,-4.317605,-1.310479,-0.743244,-0.532855,-0.423037,-0.350942,-0.295432,-0.248068,-0.205191,-0.165214,-11.881934
-2.841593,-4.412386,-1.389978,-0.798489,-0.556609,-0.410316,-0.299371,-0.205419,-0.122779,-0.050328,0.011376,-11.524168
-2.741593,-4.463081,-1.414063,-0.782407,-0.492487,-0.297135,-0.143222,-0.018795,0.076987,0.142622,0.177506,-10.503942
-2.641593,-4.469181,-1.381773,-0.696435,-0.350612,-0.111206,0.062959,0.176669,0.230053,0.227639,0.180438,-9.421317
-2.541593,-4.430627,-1.294397,-0.548253,-0.153383,0.101951,0.247147,0.289043,0.243572,0.140383,0.017476,-8.676957
-2.441593,-4.347804,-1.155417,-0.351097,0.068062,0.290146,0.344999,0.265475,0.109344,-0.053112,-0.161553,-8.280826
-2.341593,-4.221539,-0.970374,-0.122578,0.278761,0.407304,0.322333,0.117050,-0.091211,-0.206413,-0.192052,-7.968587
-2.241593,-4.053094,-0.746646,0.116890,0.445450,0.424739,0.187067,-0.086425,-0.236439,-0.203504,-0.045978,-7.487808
-2.141593,-3.844151,-0.493151,0.345917,0.541812,0.338184,-0.013547,-0.249253,-0.238246,-0.046588,0.142367,-6.806524
-2.041593,-3.596799,-0.219995,0.544044,0.552634,0.168829,-0.209429,-0.294854,-0.095536,0.145585,0.199821,-6.095568
-1.941593,-3.313509,0.061931,0.693573,0.476208,-0.041861,-0.332151,-0.201780,0.105125,0.227582,0.073560,-5.541191
-1.841593,-2.997112,0.341387,0.781147,0.324598,-0.242302,-0.338843,-0.013806,0.242018,0.137350,-0.120331,-5.175761
-1.741593,-2.650768,0.607234,0.798944,0.121742,-0.383419,-0.227168,0.180661,0.232107,-0.056827,-0.203591,-4.870952
