x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,F
-3.141593,-8.000000,-2.000000,-0.888889,-0.500000,-0.320000,-0.222222,-0.163265,-0.125000,-0.098765,-0.080000,-0.066116,-0.055556,-0.047337,-0.040816,-0.035556,-0.031250,-0.027682,-0.024691,-0.022161,-0.020000,-0.018141,-0.016529,-0.015123,-0.013889,-0.012800,-18.425523
-3.041593,-7.760366,-1.761464,-0.849188,-0.460530,-0.280826,-0.183408,-0.124872,-0.087088,-0.061394,-0.043224,-0.029990,-0.020131,-0.012663,-0.006937,-0.002515,0.000912,0.003567,0.005610,0.007164,0.008323,0.009158,0.009727,0.010076,0.010242,0.010255,-17.189300
-2.941593,-7.443194,-1.452704,-0.733632,-0.348353,-0.172897,-0.080524,-0.027750,0.003650,0.022440,0.033292,0.038909,0.040966,0.040563,0.038458,0.035200,0.031197,0.026763,0.022142,0.017528,0.013073,0.008894,0.005080,0.001696,-0.001215,-0.003631,-15.463786
-2.841593,-7.051651,-1.086029,-0.552542,-0.181179,-0.022636,0.050489,0.082424,0.092174,0.089291,0.079199,0.065288,0.049820,0.034364,0.020011,0.007495,-0.002734,-0.010463,-0.015671,-0.018498,-0.019203,-0.018138,-0.015706,-0.012336,-0.008449,-0.004437,-14.028855
-2.741593,-6.589651,-0.676057,-0.322096,0.014600,0.133167,0.163865,0.153832,0.124787,0.088569,0.052291,0.020320,-0.004861,-0.022178,-0.031656,-0.034139,-0.031037,-0.024066,-0.015021,-0.005568,0.002910,0.009420,0.013406,0.014742,0.013676,0.010740,-12.519741
-2.641593,-6.061809,-0.239134,-0.062878,0.208073,0.256366,0.219998,0.152891,0.081705,0.020819,-0.022693,-0.046854,-0.053343,-0.046229,-0.030772,-0.012325,0.004547,0.016665,0.022497,0.022098,0.016781,0.008627,-0.000073,-0.007309,-0.011720,-0.012772,-11.156578
-2.541593,-5.473400,0.207324,0.201957,0.368697,0.316798,0.199280,0.080043,-0.010937,-0.062686,-0.076814,-0.062825,-0.033797,-0.002554,0.021195,0.032396,0.030771,0.019772,0.004798,-0.008720,-0.016877,-0.018130,-0.013320,-0.005003,0.003609,0.009724,-9.868437
-2.441593,-4.830302,0.645515,0.448752,0.471111,0.299666,0.108947,-0.030451,-0.096946,-0.098751,-0.060312,-0.010140,0.028849,0.044863,0.037977,0.016908,-0.006344,-0.021760,-0.024677,-0.016460,-0.002735,0.009680,0.015751,0.013976,0.006398,-0.002809,-8.633031
-2.341593,-4.138941,1.057973,0.655461,0.499147,0.209166,-0.019444,-0.126623,-0.124148,-0.060084,0.011640,0.053626,0.054705,0.026555,-0.008286,-0.030004,-0.030401,-0.014165,0.006415,0.019363,0.019153,0.008357,-0.005219,-0.013620,-0.013045,-0.005223,-7.547379
-2.241593,-3.406226,1.428252,0.803620,0.448379,0.067455,-0.141043,-0.163242,-0.076044,0.024054,0.072890,0.058789,0.010796,-0.030655,-0.040793,-0.021153,0.008119,0.025410,0.021762,0.003940,-0.013206,-0.018118,-0.009609,0.004174,0.012840,0.011178,-6.498166
